가맹점명,업종,주소,행정구역,지역구분,이용건수구간,이용금액구간,월요일,화요일,수요일,목요일,금요일,토요일,일요일,5시11시(아침),12시13시(점심),14시17시(오후),18시22시(저녁),23시4시(새벽),현지인이용건수비중,남성,여성,20대이하,30대,40대,50대,60대이상,URL
통큰돼지,가정식,제주 제주시 용담이동 2682-9번지 통큰돼지,용담이동,제주,2,3,11.41,11.12,14.46,12.97,14.2,16.42,19.41,0,0.41,9.45,87.91,2.24,72.76,58.13,41.87,6.7,15.28,26.68,34.13,17.21,https://pcmap.place.naver.com/place/1001075669/home
해변,단품요리 전문,제주 제주시 애월읍 애월리 410-6번지,애월읍,애월읍,3,5,5.33,15.3,13.02,14.68,15.97,18.59,17.11,2.26,18.2,20.08,59.37,0.09,23.17,54.49,45.51,22.13,21.17,18.88,22.84,14.99,
한그릇,단품요리 전문,제주 서귀포시 색달동 2315-1번지 한그릇,색달동,서귀포,4,3,16.37,12.31,0,15.92,14.03,19.05,22.31,15.63,48.56,23.55,12.27,0,34.97,52.67,47.33,13.34,33.34,34.09,13.7,5.5,
협재해녀의집,가정식,제주 제주시 한림읍 협재리 1459-2번지,한림읍,한림읍,4,4,0.21,17.43,16.08,12.21,17.65,18.37,18.05,21.07,25.9,34.88,18.15,0,1.92,48.91,51.09,30.77,32.08,20.41,12.32,4.45,https://pcmap.place.naver.com/place/32891339/home
까망꼬숑,단품요리 전문,제주 제주시 노형동 3784-12번지 1층,노형동,제주,1,4,14.96,12.82,9.45,13.29,12.79,18.82,17.88,0.21,0,16.58,82.45,0.76,22.46,48.78,51.23,39.64,33.28,14.46,9.46,3.17,https://pcmap.place.naver.com/place/1000124071/home
동진,가정식,제주 제주시 일도일동 1146번지,일도일동,제주,5,4,13.93,17.74,16.59,15.07,13.75,16.19,6.73,29.72,24.83,36.93,8.52,0,10.09,56.03,43.97,22.28,22.7,25.16,18.94,10.88,
컴포즈커피 제주아라점,커피,제주 제주시 아라일동 6104번지 1층,아라일동,제주,6,2,14.68,14.65,15.95,14.71,14.45,15.19,10.36,30.75,22.75,29.54,16.95,0,80.16,45.37,54.63,17.47,31.49,35.23,12.14,3.64,https://pcmap.place.naver.com/place/1169558136/home
(주)시더스초밥제주연동점,단품요리 전문,제주 제주시 연동 355-8번지 1층,연동,제주,2,2,13.62,11.24,19.95,17.48,18.98,18.73,0,3.54,36.76,13.78,45.93,0,83.44,57.23,42.78,6.73,25.28,29.05,26.68,12.28,
토평골식당,가정식,제주 서귀포시 토평동 1245-7번지,토평동,서귀포,1,2,16.05,15.72,7.79,12.58,16.23,16.98,14.66,0,0,5.44,94.56,0,26.04,51.43,48.58,6.63,15.04,22.34,30.46,25.51,https://pcmap.place.naver.com/place/16924367/home
원삼계탕아라점,단품요리 전문,제주 제주시 아라일동 1813-2번지 1층,아라일동,제주,4,4,17.08,18.02,19.27,17.77,15.74,12.11,0,9.81,44.04,13.32,32.83,0,81.34,58.04,41.96,6.43,20.08,27.44,26.66,19.38,https://pcmap.place.naver.com/place/1814732310/home
파리바게뜨제주하귀점,베이커리,제주 제주시 애월읍 하귀1리 156-1번지 1층,애월읍,애월읍,6,5,14.85,13.81,14.24,13.78,13.84,15.06,14.42,33.27,13.74,25.89,27.04,0.07,67.27,45.28,54.72,6.82,25.77,37.78,19.54,10.12,
바다이야기,단품요리 전문,제주 서귀포시 대포동 1998-2번지,대포동,서귀포,2,4,17.01,9.95,16.03,13.62,15.56,17.06,10.78,7.92,25.84,19.71,46.32,0.21,27.83,59.82,40.18,8.25,16.85,27.61,28.67,18.6,https://pcmap.place.naver.com/place/1933562182/home
성공,단품요리 전문,제주 제주시 삼도이동 2번지 삼도이동상가 1호 층,삼도이동,제주,4,3,17.5,15.8,17.24,15.6,1.07,17.28,15.51,16.07,36.31,20.63,26.99,0,49.94,71.43,28.58,14.06,24.08,25.1,25.04,11.72,https://pcmap.place.naver.com/place/16685532/home
통나무집,일식,제주 서귀포시 서귀동 274-2번지,서귀동,서귀포,4,4,11.6,14.29,13.94,13.56,15.1,18.79,12.71,1.02,5.72,34.2,58.87,0.2,6.84,56.58,43.43,15.38,19.53,23.09,26.03,15.95,
비비큐인제점,치킨,제주 제주시 일도이동 355-15번지 1층,일도이동,제주,3,1,6.52,13.27,12.84,11.69,19.62,17.71,18.35,0.2,5.86,19.49,67.61,6.84,86.88,55.17,44.83,9.99,11.99,25.79,39.5,12.72,https://pcmap.place.naver.com/place/11799561/home
상원가든,단품요리 전문,제주 서귀포시 대정읍 상모리 3052번지,대정읍,대정읍,3,5,16.36,16.23,0,12.7,14.25,21.02,19.45,0,7.81,15.32,76.87,0,40.18,60.84,39.16,7.23,24.36,31.55,22.79,14.06,https://pcmap.place.naver.com/place/16935043/home
소리원  저지점,중식,제주 제주시 한경면 저지리 1849-3번지 1층,한경면,한경면,4,3,12.42,17.18,19,14.59,16.07,15.6,5.13,13.41,51.49,28.7,6.4,0,60.62,63.96,36.04,6.08,23.42,40.84,20.37,9.29,https://pcmap.place.naver.com/place/1141069216/home
오리정,단품요리 전문,제주 제주시 노형동 1288-5번지,노형동,제주,2,3,15.79,15.45,0.23,14.9,20.32,15.44,17.86,3.09,18.83,16.5,61.58,0,80.6,61.42,38.58,9.93,25.22,20.39,27.22,17.26,
제라진밥상,가정식,제주 제주시 조천읍 함덕리 4150번지,조천읍,조천읍,5,4,16.64,18.29,17.84,16.87,14.92,0,15.44,59.43,39.28,1.28,0,0,35.17,62.96,37.04,8.02,27.98,38.86,16.09,9.04,https://pcmap.place.naver.com/place/1274479359/home
김밥천국광양대학로점,분식,제주 제주시 이도이동 1185-2번지 1층,이도이동,제주,6,5,13.09,13.16,14.44,13.47,13.56,16.11,16.17,25.07,11.72,12.72,25.79,24.7,76.32,58.03,41.98,25.56,27.6,23.23,17.78,5.86,https://pcmap.place.naver.com/place/17093962/home
명인일도횟집,단품요리 전문,제주 제주시 일도이동 50-6번지 1층,일도이동,제주,3,4,13.34,13.1,11.19,9.38,15.79,19.48,17.72,0.2,5.23,11.9,77.95,4.72,77.66,67.38,32.63,18.27,19.69,27.73,25.27,9.06,https://pcmap.place.naver.com/place/1520054212/home
한라진칼국수,단품요리 전문,제주 제주시 내도동 529-1번지 1층,내도동,제주,3,2,15.01,0,15.11,16.21,13.81,15.09,24.76,34.48,38.58,26.95,0,0,7.92,53.67,46.33,20.73,30.17,25,16.63,7.43,
서귀포흑돼지명가,단품요리 전문,제주 서귀포시 호근동 431-8번지,호근동,서귀포,2,4,17.12,15.58,10.17,17.39,20.19,13.93,5.62,0.83,12.16,15.06,71.95,0,5.47,55.45,44.55,10.46,16.67,22.79,28.17,21.92,https://pcmap.place.naver.com/place/13533390/home
참맛나,분식,제주 제주시 노형동 3813-5번지 1층,노형동,제주,6,6,15.08,15.56,0.16,15.08,15.05,19.5,19.57,33.53,30.44,35.75,0.28,0,72.64,46.29,53.71,16.27,33.88,31.06,14.88,3.93,https://pcmap.place.naver.com/place/32163557/home
마두천,단품요리 전문,제주 제주시 용담이동 940-15번지,용담이동,제주,4,4,15.77,18.76,0.39,13.23,14.61,16.33,20.91,20.1,55.16,24.74,0,0,58.9,54.26,45.74,10.73,20.09,26.72,27.57,14.9,https://pcmap.place.naver.com/place/20982096/home
여인천하,단품요리 전문,제주 제주시 연동 273-40번지 광성빌딩 2층,연동,제주,1,3,24.79,11.67,8.75,20.63,13.54,7.71,12.92,0,0,0,9.79,90.21,60.22,95.4,4.6,11.85,49.48,30.88,6.25,1.6,
